		In Use		
C:\Matlab\bin\win32\icuio32.dll	781b0000	0000b000		00035000*
C:\Matlab\bin\win32\icuuc32.dll	781f0000	94000		0000c000
C:\Matlab\bin\win32\xerces-c_2_6.dll	78290000	001a0000		00020000*
C:\Matlab\bin\win32\libut.dll	78450000	000a3000		0000d000
C:\Matlab\bin\win32\libmx.dll	78500000	3		2000
C:\Matlab\bin\win32\libmex.dll	78540000	0000f000		1000
C:\Matlab\bin\win32\libmat.dll	78550000	0000d000		3000
C:\Matlab\bin\win32\mvalue.dll	78560000	0		2000
C:\Matlab\bin\win32\mpath.dll	78570000	0001a000		6000
C:\Matlab\bin\win32\mcos.dll	78590000	98000		8000
C:\Matlab\bin\win32\udd.dll	78630000	82000		0
C:\Matlab\bin\win32\m_dispatcher.dll	786c0000	6		2000
C:\Matlab\bin\win32\m_interpreter.dll	78730000	0030a000		6000
C:\Matlab\bin\win32\m_parser.dll	78a40000	196000		0000a000
C:\Matlab\bin\win32\m_ir.dll	78be0000	0005b000		5000
C:\Matlab\bin\win32\m_pcodegen.dll	78c40000	14000		0000c000
C:\Matlab\bin\win32\m_pcodeio.dll	78c60000	14000		0000c000
C:\Matlab\bin\win32\ir_xfmr.dll	78c80000	0000d000		3000
C:\Matlab\bin\win32\mlib.dll	78c90000	90000		0
C:\Matlab\bin\win32\datasvcs.dll	78d20000	16000		0000a000
C:\Matlab\bin\win32\libmwservices.dll	78d40000	106000		0000a000
C:\Matlab\bin\win32\libmwbuiltins.dll	78e50000	54000		0000c000
C:\Matlab\bin\win32\uiw.dll	78eb0000	0007b000		5000
C:\Matlab\bin\win32\libuij.dll	78f30000	23000		0000d000
C:\Matlab\bin\win32\uinone.dll	78f60000	9000		7000
C:\Matlab\bin\win32\libmwgui.dll	78f70000	99000		7000
C:\Matlab\bin\win32\hg.dll	79010000	152000		0002e000*
C:\Matlab\bin\win32\libmwhardcopy.dll	79190000	0002b000		5000
C:\Matlab\bin\win32\mcr.dll	791c0000	0001b000		5000
C:\Matlab\bin\win32\numerics.dll	791	0016d000		3000
C:\Matlab\bin\win32\libmwlapack.dll	79350000	23000		0000d000
C:\Matlab\bin\win32\mkl.dll	79380000	18000		8000
C:\Matlab\bin\win32\libfftw3.dll	793a0000	86000		0000a000
C:\Matlab\bin\win32\libfftw3f.dll	79430000	81000		0000f000
